Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Search Products,8907,934,829,7172,160.86,0.000%,13.91477,691.44,3.23,50883.7
TOTAL,8907,934,829,7172,160.86,0.000%,13.91477,691.44,3.23,50883.7
