Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Search Products,2747,36608,670,189385,30332.28,86.130%,6.04969,37.24,1.41,6303.5
TOTAL,2747,36608,670,189385,30332.28,86.130%,6.04969,37.24,1.41,6303.5
